Datum; Uhrzeit;Gesamtanzahl; Anz_Trainingsdaten; Anz_Testdaten; n-Runde; Erfolgsrate; Beispiel-Fehler; Standardabweichung; Konfidenzintervall-Unten; Konfidenzintervall-Oben;Anz_Trainingsdaten; Anz_Epoch; Anz_Perceptron; Anz_IMGVectoren; Anz_GridCols; Anz_GridRows;Erf_Stop; Erf_VorVrechts; Erf_VorVgewahren; Erf_FahrLinks; Erf_FahrRechts; Erf_Vorfahrsstr
2025-01-15; 12:49:16; 43345; 26007; 17337; 0; 0,7862; 0,2138; 0,0031; 0,7801; 0,7923; 26007; 400; 3; 245; 7; 7; 0,8590; 0,8737;0,8006; 0,8647;0,4003; 0,9300; 
2025-01-15; 12:50:39; 43345; 26007; 17337; 1; 0,7844; 0,2156; 0,0031; 0,7783; 0,7905; 26007; 400; 3; 245; 7; 7; 0,7024; 0,9188;0,8640; 0,7944;0,4995; 0,9271; 
2025-01-15; 12:51:57; 43345; 26007; 17337; 2; 0,7977; 0,2023; 0,0031; 0,7917; 0,8036; 26007; 400; 3; 245; 7; 7; 0,8423; 0,8500;0,8666; 0,8054;0,4958; 0,9331; 
2025-01-15; 12:53:15; 43345; 26007; 17337; 3; 0,7304; 0,2696; 0,0034; 0,7238; 0,7370; 26007; 400; 3; 245; 7; 7; 0,9311; 0,5596;0,5823; 0,4383;0,9431; 0,9329; 
2025-01-15; 12:54:31; 43345; 26007; 17337; 4; 0,7948; 0,2052; 0,0031; 0,7888; 0,8008; 26007; 400; 3; 245; 7; 7; 0,8996; 0,6880;0,8327; 0,4868;0,9283; 0,9252; 
2025-01-15; 12:55:47; 43345; 26007; 17337; 5; 0,7908; 0,2092; 0,0031; 0,7847; 0,7968; 26007; 400; 3; 245; 7; 7; 0,9340; 0,6597;0,7853; 0,6077;0,8388; 0,9287; 
2025-01-15; 12:57:07; 43345; 26007; 17337; 6; 0,8134; 0,1866; 0,0030; 0,8076; 0,8192; 26007; 400; 3; 245; 7; 7; 0,8462; 0,8184;0,8734; 0,7198;0,6982; 0,9259; 
2025-01-15; 12:58:24; 43345; 26007; 17337; 7; 0,8171; 0,1829; 0,0029; 0,8113; 0,8229; 26007; 400; 3; 245; 7; 7; 0,9263; 0,7649;0,8624; 0,6891;0,7249; 0,9349; 
2025-01-15; 12:59:45; 43345; 26007; 17337; 8; 0,7892; 0,2108; 0,0031; 0,7831; 0,7953; 26007; 400; 3; 245; 7; 7; 0,8634; 0,7493;0,8685; 0,4236;0,8955; 0,9253; 
2025-01-15; 13:01:00; 43345; 26007; 17337; 9; 0,8060; 0,1940; 0,0030; 0,8001; 0,8119; 26007; 400; 3; 245; 7; 7; 0,8918; 0,7337;0,8547; 0,7141;0,7137; 0,9263; 
2025-01-15; 13:02:22; 43345; 26007; 17337; 10; 0,7681; 0,2319; 0,0032; 0,7618; 0,7744; 26007; 400; 3; 245; 7; 7; 0,7737; 0,8967;0,8530; 0,8441;0,2363; 0,9997; 
2025-01-15; 13:03:38; 43345; 26007; 17337; 11; 0,8145; 0,1855; 0,0030; 0,8087; 0,8203; 26007; 400; 3; 245; 7; 7; 0,8301; 0,8642;0,8641; 0,6887;0,6406; 1,0000; 
2025-01-15; 13:04:56; 43345; 26007; 17337; 12; 0,7493; 0,2507; 0,0033; 0,7428; 0,7557; 26007; 400; 3; 245; 7; 7; 0,8977; 0,6004;0,6934; 0,5937;0,7823; 0,9325; 
2025-01-15; 13:06:12; 43345; 26007; 17337; 13; 0,7916; 0,2084; 0,0031; 0,7856; 0,7976; 26007; 400; 3; 245; 7; 7; 0,9198; 0,7763;0,7595; 0,4896;0,8755; 0,9297; 
2025-01-15; 13:07:28; 43345; 26007; 17337; 14; 0,7954; 0,2046; 0,0031; 0,7893; 0,8014; 26007; 400; 3; 245; 7; 7; 0,8462; 0,9277;0,8201; 0,6539;0,5966; 0,9251; 
